time,price,usdt_idr,timestamp
2025-06-09T19:22:46.445250,0.6725,16304.0,2025-06-09T19:22:47.574101
2025-06-09T19:37:31.449408,0.6738,16299.0,2025-06-09T19:37:33.693229
